Resumo geral;Pagamentos pendentes;Pagamentos finalizados;Valor total
 ;$ 0,00;$ 55.875,19;$ 55.875,19
Descrição;Veículo;Fornecedor;Funcionário;Viagem;Data de cadastro;Data de vencimento;Data de pagamento;Valor total;Pago?
BORRACHARIA ;CVP1962 - VOLKSWAGEN 8120;NATAN PNEU;WANDERSON CONCEIÇÃO NUNES;"";29/08/2025 10:35:00;29/08/2025 10:35:00;29/08/2025 10:35:00;$ 80,00;O
"";ID;Item;Quantidade;Valor unitário;Valor total
"";33163;VULCANIZAÇAO DE PNEU;1;$ 80,00;$ 80,00
MULTA;NVX3C19 - I/TOYOTA HILUX CS4X4CHAS;DETRAN MT;"";"";28/08/2025 13:17:00;28/08/2025 09:12:00;28/08/2025 09:12:00;$ 130,16;O
"";ID;Item;Quantidade;Valor unitário;Valor total
"";33038;TRANSITAR EM VELOCIDADE SUPERIOR A 20%;1;$ 130,16;$ 130,16
MULTA;NVX3C19 - I/TOYOTA HILUX CS4X4CHAS;DETRAN MT;"";"";28/08/2025 10:40:00;28/08/2025 09:15:00;28/08/2025 09:15:00;$ 130,16;O
"";ID;Item;Quantidade;Valor unitário;Valor total
"";33038;TRANSITAR EM VELOCIDADE SUPERIOR A 20%;1;$ 130,16;$ 130,16
MULTA;NVX3C19 - I/TOYOTA HILUX CS4X4CHAS;DETRAN MT;"";"";28/08/2025 06:42:00;28/08/2025 09:11:00;28/08/2025 09:11:00;$ 293,47;O
"";ID;Item;Quantidade;Valor unitário;Valor total
"";33041;AVANCAR SINAL VERMELHO DO SEMAFORO;1;$ 293,47;$ 293,47
MULTA;LKQ-1G03 - VW/8.120 EURO3;DETRAN MT;"";"";27/08/2025 15:36:00;27/08/2025 15:36:00;27/08/2025 15:36:00;$ 130,16;O
"";ID;Item;Quantidade;Valor unitário;Valor total
"";33038;TRANSITAR EM VELOCIDADE SUPERIOR A 20%;1;$ 130,16;$ 130,16
MULTA;LKQ-1G03 - VW/8.120 EURO3;DETRAN MT;"";"";27/08/2025 15:29:00;27/08/2025 15:29:00;27/08/2025 15:29:00;$ 130,16;O
"";ID;Item;Quantidade;Valor unitário;Valor total
"";33091;deixar de manter luz baixa acesa nas rodovias;1;$ 130,16;$ 130,16
MULTA;JYU-1051 - VOLKSWAGEN 8.120;DETRAN MT;"";"";27/08/2025 13:41:00;27/08/2025 13:41:00;27/08/2025 13:48:00;$ 130,16;O
"";ID;Item;Quantidade;Valor unitário;Valor total
"";33067;MANTER LUZ BAIXA NAS RODOVIAS;1;$ 130,16;$ 130,16
MULTA;CVP1962 - VOLKSWAGEN 8120;DETRAN MT;"";"";27/08/2025 10:03:00;27/08/2025 10:03:00;27/08/2025 10:03:00;$ 195,23;O
"";ID;Item;Quantidade;Valor unitário;Valor total
"";33061;DEIXAR O PASSA DE USAR CINTO DE SEG;1;$ 195,23;$ 195,23
COMPRA DE FERRAMENTA;"";ATLANTICO COMERCIO ACES;"";"";26/08/2025 20:19:00;26/08/2025 20:19:00;26/08/2025 20:19:00;$ 62,15;O
"";ID;Item;Quantidade;Valor unitário;Valor total
"";33047;CALIBRADOR;1;$ 62,15;$ 62,15
MULTA;BAV6C31 - VW/8.160 DRC 4X2;DETRAN MT;"";"";26/08/2025 14:08:00;26/08/2025 15:00:00;26/08/2025 15:00:00;$ 130,16;O
"";ID;Item;Quantidade;Valor unitário;Valor total
"";33038;TRANSITAR EM VELOCIDADE SUPERIOR A 20%;1;$ 130,16;$ 130,16
COMPRA DE PEÇAS- OLEO E FILTROS;NWA-3I75 - VOLKSWAGEN 8120;KARANGÃO AUTO PEÇAS;"";"";26/08/2025 13:09:00;26/08/2025 13:09:00;26/08/2025 13:12:00;$ 284,81;O
"";ID;Item;Quantidade;Valor unitário;Valor total
"";33029;OLEO+FILTROS;1;$ 284,81;$ 284,81
BORRACHARIA;CVP1962 - VOLKSWAGEN 8120;BORRACHARIA CANARIO;"";"";26/08/2025 13:08:00;11/09/2025 13:08:00;11/09/2025 13:08:00;$ 20,00;O
"";ID;Item;Quantidade;Valor unitário;Valor total
"";32177;SERVIÇOS DE BORRACHARIA ;1;$ 20,00;$ 20,00
Compra de peças e mão de obra ;BAV6C31 - VW/8.160 DRC 4X2;Descar Auto Eletrica e Baterias;"";"";20/08/2025 08:21:00;17/09/2025 09:59:00;19/09/2025 12:49:00;$ 100,00;O
"";ID;Item;Quantidade;Valor unitário;Valor total
"";33710;CHICOTE;1;$ 20,00;$ 20,00
"";33712;mão de obra elétrica ;1;$ 80,00;$ 80,00
